segment,trial,tag,note,velocity,hold_s,onset_s
velocity_sens,7,velo_sens=4 vel=127,60,127,1.200,480.8012
velocity_sens,8,velo_sens=8 vel=1,60,1,1.200,483.4545
velocity_sens,9,velo_sens=8 vel=40,60,40,1.200,486.1075
velocity_sens,10,velo_sens=8 vel=80,60,80,1.200,488.7607
velocity_sens,11,velo_sens=8 vel=127,60,127,1.200,491.4136
velocity_sens,12,velo_sens=12 vel=1,60,1,1.200,494.0666
velocity_sens,13,velo_sens=12 vel=40,60,40,1.200,496.7186
velocity_sens,14,velo_sens=12 vel=80,60,80,1.200,499.3716
velocity_sens,15,velo_sens=12 vel=127,60,127,1.200,502.0247
velocity_sens,16,velo_sens=15 vel=1,60,1,1.200,504.6776
velocity_sens,17,velo_sens=15 vel=40,60,40,1.200,507.3306
velocity_sens,18,velo_sens=15 vel=80,60,80,1.200,509.9827
velocity_sens,19,velo_sens=15 vel=127,60,127,1.200,512.6363
release_by_hold_vib,0,hold=0.20,60,100,0.200,518.7938
release_by_hold_vib,1,hold=0.50,60,100,0.500,522.6486
release_by_hold_vib,2,hold=1.00,60,100,1.000,526.8032
release_by_hold_vib,3,hold=2.00,60,100,2.000,531.4585
release_by_hold_vib,4,hold=4.00,60,100,4.000,537.1142
release_by_hold_vib,5,hold=8.00,60,100,8.000,544.7718
release_by_hold_organ,0,hold=0.20,60,100,0.200,559.9377
release_by_hold_organ,1,hold=0.50,60,100,0.500,563.7916
release_by_hold_organ,2,hold=1.00,60,100,1.000,567.9456
release_by_hold_organ,3,hold=2.00,60,100,2.000,572.5996
release_by_hold_organ,4,hold=4.00,60,100,4.000,578.2546
release_by_hold_organ,5,hold=8.00,60,100,8.000,585.9115
release_by_key_vib,0,note=36,36,100,1.000,601.0756
release_by_key_vib,1,note=48,48,100,1.000,605.4296
release_by_key_vib,2,note=60,60,100,1.000,609.7836
release_by_key_vib,3,note=69,69,100,1.000,614.1378
release_by_key_vib,4,note=72,72,100,1.000,618.4926
release_by_key_vib,5,note=84,84,100,1.000,622.8465
release_by_key_vib,6,note=96,96,100,1.000,627.2005
release_by_key_organ,0,note=36,36,100,1.000,635.0577
release_by_key_organ,1,note=48,48,100,1.000,639.4115
release_by_key_organ,2,note=60,60,100,1.000,643.7655
release_by_key_organ,3,note=69,69,100,1.000,648.1196
release_by_key_organ,4,note=72,72,100,1.000,652.4736
release_by_key_organ,5,note=84,84,100,1.000,656.8276
release_by_key_organ,6,note=96,96,100,1.000,661.1816
attack_by_velocity_strings,0,vel=16,60,16,2.500,669.0386
attack_by_velocity_strings,1,vel=40,60,40,2.500,673.4934
attack_by_velocity_strings,2,vel=64,60,64,2.500,677.9476
